GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
GeoSat Gateway,com.geosat.gateway,GeosatGatewayApplication,5,3,0,0,2,1,1,1,1,1
GeoSat Gateway,com.geosat.gateway.client,RbmcHttpClient,75,145,9,3,17,30,10,7,3,6
GeoSat Gateway,com.geosat.gateway.config,RedisConfig,0,34,0,0,0,9,0,2,0,2
GeoSat Gateway,com.geosat.gateway.config,HttpClientConfig,0,21,0,0,0,9,0,2,0,2
GeoSat Gateway,com.geosat.gateway.service,RedisCacheService,2,47,2,2,0,13,2,4,0,4
GeoSat Gateway,com.geosat.gateway.service,RbmcService,6,69,0,0,2,20,0,3,0,3
GeoSat Gateway,com.geosat.gateway.controller,RbmcController,0,12,0,0,0,4,0,2,0,2
GeoSat Gateway,com.geosat.gateway.controller,GlobalExceptionHandler,0,26,0,0,0,8,0,2,0,2
GeoSat Gateway,com.geosat.gateway.model,RbmcFallbackResponse,0,18,0,0,0,1,0,1,0,1
GeoSat Gateway,com.geosat.gateway.model,RbmcRelatorioDTO,0,21,0,0,0,1,0,1,0,1
GeoSat Gateway,com.geosat.gateway.model,ErrorResponse,0,18,0,0,0,1,0,1,0,1
